text,emotion
Das bereitet mir Kopfzerbrechen sehr,Angst
Ich bin bedrückt unglaublich,Traurigkeit
Mir fehlt die Motivation,Traurigkeit
Ich könnte weinen,Traurigkeit
Das macht mir Sorgen sehr,Angst
Das tut weh ziemlich,Traurigkeit
Mir geht es heute schlecht extrem,Traurigkeit
Ich fühle mich unsicher extrem,Angst
Ich arbeite heute im Homeoffice sehr,Neutral
Das erfüllt mich mit Freude unglaublich,Freude
Ich gehe einkaufen sehr,Neutral
Ich könnte vor Freude springen ziemlich,Freude
Ich vermisse meine Freunde extrem,Traurigkeit
Das Dokument wurde gespeichert wirklich,Neutral
Die Lampe ist eingeschaltet unglaublich,Neutral
Der Termin wurde verschoben ziemlich,Neutral
Ich habe die Nase voll,Wut
Das Wetter ist bewölkt ziemlich,Neutral
Ich bin unglücklich ziemlich,Traurigkeit
Das ist eine Frechheit ziemlich,Wut
Ich weiß nicht was passieren wird unglaublich,Angst
Das macht mich zufrieden wirklich,Freude
Ich ärgere mich darüber sehr,Wut
Das bereitet mir Kopfzerbrechen extrem,Angst
Ich bin stinksauer,Wut
Ich könnte ausrasten wirklich,Wut
Ich genieße diesen Moment sehr,Freude
Ich gehe später spazieren ziemlich,Neutral
Ich fahre zur Arbeit sehr,Neutral
Heute habe ich mehrere Termine wirklich,Neutral
Ich bin außer mir vor Wut extrem,Wut
Das erfüllt mich mit Freude extrem,Freude
Mir geht es heute schlecht extrem,Traurigkeit
Was passiert wenn etwas schiefgeht extrem,Angst
Ich ärgere mich darüber,Wut
Mein Team hat gewonnen ziemlich,Freude
Ich fühle mich leer sehr,Traurigkeit
Ich bin ängstlich sehr,Angst
Ich fahre zur Arbeit unglaublich,Neutral
Ich bin stolz auf meine Leistung extrem,Freude
Ich hasse solche Situationen wirklich,Wut
Das ist die beste Nachricht des Jahres wirklich,Freude
Das ist eine Frechheit extrem,Wut
Das Dokument wurde gespeichert extrem,Neutral
Warum passiert so etwas immer wieder wirklich,Wut
Das geht gar nicht sehr,Wut
Ich sitze am Schreibtisch wirklich,Neutral
Ich fühle mich allein unglaublich,Traurigkeit
Mir ist ganz mulmig unglaublich,Angst
Ich trinke einen Kaffee wirklich,Neutral
Ich fühle mich bedroht,Angst
Ich lese ein Buch unglaublich,Neutral
Ich bin richtig verärgert wirklich,Wut
Ich fühle mich bedroht unglaublich,Angst
Ich bin sehr glücklich sehr,Freude
Das macht mich unglaublich froh,Freude
Das macht mich traurig extrem,Traurigkeit
Heute ist ein fantastischer Tag,Freude
Das regt mich unglaublich auf wirklich,Wut
Das Meeting beginnt um zehn Uhr,Neutral
Warum passiert so etwas immer wieder ziemlich,Wut
Ich bin stolz auf meine Leistung unglaublich,Freude
Ich weiß nicht was passieren wird sehr,Angst
Das ist absolut unfair extrem,Wut
Ich fühle mich allein wirklich,Traurigkeit
Alles erscheint sinnlos sehr,Traurigkeit
Ich könnte weinen sehr,Traurigkeit
Das Fenster ist geöffnet extrem,Neutral
Ich könnte vor Freude springen,Freude
Ich weiß nicht was passieren wird ziemlich,Angst
Ich genieße diesen Moment sehr,Freude
Was passiert wenn etwas schiefgeht ziemlich,Angst
Ich habe Angst vor der Zukunft,Angst
Mir fehlt die Motivation extrem,Traurigkeit
Warum passiert so etwas immer wieder unglaublich,Wut
Ich habe die Nase voll sehr,Wut
Ich bin enttäuscht wirklich,Traurigkeit
Das macht mich unglaublich froh ziemlich,Freude
Ich bin ängstlich unglaublich,Angst
Ich bin enttäuscht und wütend ziemlich,Wut
Das tut weh extrem,Traurigkeit
Die Nachricht hat mich begeistert sehr,Freude
Das geht gar nicht sehr,Wut
Die Nachricht hat mich begeistert ziemlich,Freude
Das ist eine Frechheit sehr,Wut
Ich weiß nicht was passieren wird ziemlich,Angst
Der Supermarkt hat geöffnet wirklich,Neutral
Das belastet mich ziemlich,Traurigkeit
Heute fällt mir alles schwer sehr,Traurigkeit
Ich hasse solche Situationen sehr,Wut
Das ist unerträglich ziemlich,Wut
Ich habe ein ungutes Gefühl extrem,Angst
Das bereitet mir Kopfzerbrechen extrem,Angst
Ich bin stinksauer wirklich,Wut
Ich fühle mich einsam extrem,Traurigkeit
Mir ist ganz mulmig unglaublich,Angst
Ich bin unglücklich unglaublich,Traurigkeit
Heute läuft alles perfekt ziemlich,Freude
Die Nachricht hat mich begeistert unglaublich,Freude
Das Meeting beginnt um zehn Uhr unglaublich,Neutral
Das belastet mich unglaublich,Traurigkeit
Das bringt mich auf die Palme unglaublich,Wut
Die Lampe ist eingeschaltet extrem,Neutral
So etwas akzeptiere ich nicht ziemlich,Wut
Ich vermisse meine Freunde extrem,Traurigkeit
Heute bin ich niedergeschlagen unglaublich,Traurigkeit
Ich habe Zweifel ziemlich,Angst
Der Computer startet gerade unglaublich,Neutral
Ich habe endlich eine Lösung gefunden extrem,Freude
Das Paket ist angekommen sehr,Neutral
Das bereitet mir Kopfzerbrechen ziemlich,Angst
Das Meeting beginnt um zehn Uhr unglaublich,Neutral
Ich gehe später spazieren ziemlich,Neutral
Ich gehe einkaufen sehr,Neutral
Heute läuft alles perfekt wirklich,Freude
Mir ist ganz mulmig wirklich,Angst
Ich bin erleichtert und glücklich wirklich,Freude
Das Dokument wurde gespeichert wirklich,Neutral
Ich bin beunruhigt extrem,Angst
Warum passiert so etwas immer wieder extrem,Wut
Der Termin wurde verschoben sehr,Neutral
Ich bin nervös wegen der Prüfung ziemlich,Angst
Das belastet mich extrem,Traurigkeit
Ich bin richtig verärgert,Wut
Ich könnte ausrasten wirklich,Wut
Ich habe Zweifel extrem,Angst
Ich bin ängstlich wirklich,Angst
Ich fürchte mich vor dem Ergebnis wirklich,Angst
Das Fenster ist geöffnet wirklich,Neutral
Heute ist Montag,Neutral
Ich habe Angst vor der Zukunft ziemlich,Angst
Der Zug fährt pünktlich ab wirklich,Neutral
Ich bin richtig verärgert ziemlich,Wut
Der Supermarkt hat geöffnet ziemlich,Neutral
Das bereitet mir Kopfzerbrechen sehr,Angst
Ich bin stolz auf meine Leistung ziemlich,Freude
Ich habe die Prüfung bestanden,Freude
Ich bin stinksauer wirklich,Wut
Ich bin sehr glücklich wirklich,Freude
Ich könnte vor Freude springen extrem,Freude
Endlich habe ich mein Ziel erreicht extrem,Freude
Das macht mich wütend sehr,Wut
Ich fühle mich verloren extrem,Traurigkeit
Ich habe die Nase voll wirklich,Wut
Der Termin wurde verschoben sehr,Neutral
Das Paket ist angekommen wirklich,Neutral
Ich gehe einkaufen,Neutral
Das macht mich wütend sehr,Wut
Das Meeting beginnt um zehn Uhr sehr,Neutral
Ich hasse solche Situationen unglaublich,Wut
Heute bin ich niedergeschlagen sehr,Traurigkeit
Heute bin ich voller Energie sehr,Freude
Das Dokument wurde gespeichert ziemlich,Neutral
Ich bin nervös wegen der Prüfung unglaublich,Angst
Heute habe ich mehrere Termine unglaublich,Neutral
Das verunsichert mich unglaublich,Angst
Ich bin enttäuscht und wütend ziemlich,Wut
Alles erscheint sinnlos sehr,Traurigkeit
Die Nachricht hat mich begeistert,Freude
Das Wetter ist bewölkt ziemlich,Neutral
Ich habe Angst vor der Zukunft ziemlich,Angst
Ich bin unglücklich ziemlich,Traurigkeit
Heute bin ich niedergeschlagen ziemlich,Traurigkeit
Ich bin enttäuscht,Traurigkeit
Das Fenster ist geöffnet unglaublich,Neutral
Ich könnte weinen wirklich,Traurigkeit
Warum passiert so etwas immer wieder wirklich,Wut
Ich fühle mich leer extrem,Traurigkeit
Das ist eine Frechheit sehr,Wut
Das ist eine Frechheit,Wut
So ein Unsinn ziemlich,Wut
Ich bin angespannt unglaublich,Angst
Mein Projekt war erfolgreich,Freude
Ich gehe später spazieren ziemlich,Neutral
Ich mache mir große Sorgen ziemlich,Angst
So ein Unsinn ziemlich,Wut
So etwas akzeptiere ich nicht unglaublich,Wut
So etwas akzeptiere ich nicht unglaublich,Wut
Heute ist Montag wirklich,Neutral
Das tut weh extrem,Traurigkeit
Was passiert wenn etwas schiefgeht unglaublich,Angst
Das tut weh,Traurigkeit
Ich ärgere mich darüber ziemlich,Wut
Das bereitet mir Kopfzerbrechen wirklich,Angst
Der Zug fährt pünktlich ab unglaublich,Neutral
Das erfüllt mich mit Freude unglaublich,Freude
Das bringt mich auf die Palme extrem,Wut
So ein Unsinn extrem,Wut
Heute habe ich mehrere Termine extrem,Neutral
Mir fehlt die Motivation wirklich,Traurigkeit
Heute habe ich mehrere Termine wirklich,Neutral
Das Meeting beginnt um zehn Uhr extrem,Neutral
Ich bin enttäuscht wirklich,Traurigkeit
Mein Team hat gewonnen sehr,Freude
Ich bin stinksauer wirklich,Wut
Ich habe Angst vor morgen wirklich,Angst
Das macht mich aggressiv unglaublich,Wut
Das ist absolut unfair ziemlich,Wut
Das macht mich traurig wirklich,Traurigkeit
Ich könnte vor Freude springen sehr,Freude
Ich bin sehr glücklich ziemlich,Freude
Ich bin beunruhigt sehr,Angst
Alles erscheint sinnlos extrem,Traurigkeit
Ich habe Zweifel wirklich,Angst
Ich trinke einen Kaffee extrem,Neutral
Ich habe Angst vor der Zukunft ziemlich,Angst
Ich habe endlich eine Lösung gefunden extrem,Freude
Das Paket ist angekommen ziemlich,Neutral
Was passiert wenn etwas schiefgeht ziemlich,Angst
Das Meeting beginnt um zehn Uhr unglaublich,Neutral
Die Nachricht hat mich begeistert ziemlich,Freude
Ich fühle mich großartig sehr,Freude
Ich sitze am Schreibtisch ziemlich,Neutral
Das Meeting beginnt um zehn Uhr ziemlich,Neutral
Ich bin enttäuscht sehr,Traurigkeit
Das macht mich aggressiv wirklich,Wut
Ich könnte weinen extrem,Traurigkeit
Das macht mich wütend ziemlich,Wut
Ich fahre zur Arbeit wirklich,Neutral
Ich bin traurig über die Nachricht ziemlich,Traurigkeit
Ich bin enttäuscht und wütend extrem,Wut
Ich bin bedrückt unglaublich,Traurigkeit
Das Dokument wurde gespeichert unglaublich,Neutral
Endlich habe ich mein Ziel erreicht wirklich,Freude
Der Termin wurde verschoben wirklich,Neutral
Ich freue mich riesig auf den Urlaub sehr,Freude
Ich weiß nicht was passieren wird unglaublich,Angst
Das bringt mich auf die Palme,Wut
Ich fahre zur Arbeit unglaublich,Neutral
Ich bin beunruhigt sehr,Angst
Ich bin außer mir vor Wut unglaublich,Wut
Der Supermarkt hat geöffnet extrem,Neutral
Ich mache mir große Sorgen sehr,Angst
Ich fühle mich bedroht extrem,Angst
Das macht mich unglaublich froh ziemlich,Freude
Das macht mich unglaublich froh unglaublich,Freude
Ich könnte ausrasten sehr,Wut
Ich bereite das Abendessen vor wirklich,Neutral
Mein Team hat gewonnen unglaublich,Freude
Das macht mich aggressiv extrem,Wut
Ich freue mich riesig auf den Urlaub sehr,Freude
Das ist absolut unfair wirklich,Wut
Ich fühle mich unsicher sehr,Angst
Ich bin am Boden zerstört extrem,Traurigkeit
Ich bin enttäuscht und wütend wirklich,Wut
Ich genieße diesen Moment sehr,Freude
Mir ist ganz mulmig,Angst
Ich könnte vor Freude springen ziemlich,Freude
Heute läuft alles perfekt extrem,Freude
Ich habe die Nase voll unglaublich,Wut
Heute läuft alles perfekt extrem,Freude
Der Supermarkt hat geöffnet extrem,Neutral
Ich fühle mich einsam sehr,Traurigkeit
Der Termin wurde verschoben ziemlich,Neutral
Ich bin frustriert extrem,Wut
Ich hasse solche Situationen sehr,Wut
Ich fühle mich unsicher sehr,Angst
Das Paket ist angekommen unglaublich,Neutral
Ich sitze am Schreibtisch unglaublich,Neutral
Ich freue mich riesig auf den Urlaub ziemlich,Freude
Ich bin bedrückt unglaublich,Traurigkeit
Das verunsichert mich sehr,Angst
Das ist die beste Nachricht des Jahres ziemlich,Freude
Ich bin richtig verärgert extrem,Wut
Das bringt mich auf die Palme extrem,Wut
Das Fenster ist geöffnet unglaublich,Neutral
Ich bin am Boden zerstört unglaublich,Traurigkeit
Das ist unerträglich,Wut
Ich vermisse meine Freunde wirklich,Traurigkeit
Das ist unerträglich sehr,Wut
Was passiert wenn etwas schiefgeht,Angst
Mein Projekt war erfolgreich ziemlich,Freude
Ich fahre zur Arbeit,Neutral
So etwas akzeptiere ich nicht,Wut
Das bereitet mir Kopfzerbrechen sehr,Angst
Ich freue mich riesig auf den Urlaub unglaublich,Freude
Mein Team hat gewonnen ziemlich,Freude
Ich fühle mich allein wirklich,Traurigkeit
Heute läuft alles perfekt sehr,Freude
Ich fühle mich einsam sehr,Traurigkeit
Ich bin ängstlich ziemlich,Angst
Ich bin am Boden zerstört sehr,Traurigkeit
Ich könnte ausrasten ziemlich,Wut
Warum passiert so etwas immer wieder,Wut
Ich bin stinksauer sehr,Wut
Das belastet mich ziemlich,Traurigkeit
Das bringt mich auf die Palme ziemlich,Wut
Ich fürchte mich vor dem Ergebnis unglaublich,Angst
Das regt mich unglaublich auf extrem,Wut
Der Computer startet gerade,Neutral
Heute habe ich mehrere Termine ziemlich,Neutral
Ich bin am Boden zerstört unglaublich,Traurigkeit
Ich habe Angst zu versagen wirklich,Angst
Das verunsichert mich extrem,Angst
So ein Unsinn extrem,Wut
Das verunsichert mich extrem,Angst
Die Lampe ist eingeschaltet wirklich,Neutral
Ich bin nervös wegen der Prüfung ziemlich,Angst
Ich freue mich riesig auf den Urlaub sehr,Freude
Heute bin ich voller Energie sehr,Freude
Ich weiß nicht was passieren wird ziemlich,Angst
Ich fürchte mich vor dem Ergebnis,Angst
Ich mache mir große Sorgen unglaublich,Angst
Ich bin nervös wegen der Prüfung extrem,Angst
Das hat mich verletzt wirklich,Traurigkeit
Heute habe ich mehrere Termine extrem,Neutral
Das macht mich aggressiv unglaublich,Wut
Ich fühle mich bedroht wirklich,Angst
Die Lampe ist eingeschaltet wirklich,Neutral
Das macht mich nervös ziemlich,Angst
Ich habe Angst vor der Zukunft wirklich,Angst
Ich bin beunruhigt,Angst
Ich bin ängstlich unglaublich,Angst
Ich bin traurig über die Nachricht ziemlich,Traurigkeit
Ich fürchte mich vor dem Ergebnis sehr,Angst
Ich habe ein ungutes Gefühl wirklich,Angst
Das regt mich unglaublich auf extrem,Wut
Das bringt mich auf die Palme extrem,Wut
Ich fühle mich verloren wirklich,Traurigkeit
Ich bin stinksauer extrem,Wut
Ich könnte vor Freude springen unglaublich,Freude
Ich fühle mich großartig sehr,Freude
Ich bin enttäuscht und wütend unglaublich,Wut
Mir geht es heute schlecht ziemlich,Traurigkeit
Das hat mich verletzt wirklich,Traurigkeit
Ich habe Angst zu versagen unglaublich,Angst
Ich bin außer mir vor Wut sehr,Wut
Ich mache mir große Sorgen sehr,Angst
Das belastet mich extrem,Traurigkeit
Das erfüllt mich mit Freude ziemlich,Freude
Ich bin traurig über die Nachricht wirklich,Traurigkeit
Das ist eine Frechheit unglaublich,Wut
Ich fühle mich verloren wirklich,Traurigkeit
Mir geht es heute schlecht sehr,Traurigkeit
Ich freue mich riesig auf den Urlaub,Freude
Das ist eine Frechheit unglaublich,Wut
Ich bin traurig über die Nachricht unglaublich,Traurigkeit
Ich weiß nicht was passieren wird unglaublich,Angst
Ich lese ein Buch ziemlich,Neutral
Ich bin beunruhigt wirklich,Angst
Ich bin angespannt extrem,Angst
Ich habe Angst vor morgen wirklich,Angst
Das macht mich zufrieden ziemlich,Freude
Ich habe die Prüfung bestanden extrem,Freude
Ich bin frustriert unglaublich,Wut
Ich bin nervös wegen der Prüfung,Angst
Ich habe Zweifel ziemlich,Angst
Ich fahre zur Arbeit sehr,Neutral
Das ist die beste Nachricht des Jahres,Freude
Die Lampe ist eingeschaltet wirklich,Neutral
Ich bin erleichtert und glücklich unglaublich,Freude
Das geht gar nicht ziemlich,Wut
Der Termin wurde verschoben sehr,Neutral
Die Nachricht hat mich begeistert wirklich,Freude
Warum passiert so etwas immer wieder unglaublich,Wut
Das erfüllt mich mit Freude sehr,Freude
Ich bin enttäuscht und wütend,Wut
Ich bin nervös wegen der Prüfung sehr,Angst
Ich hasse solche Situationen unglaublich,Wut
Ich fühle mich großartig unglaublich,Freude
Ich bin nervös wegen der Prüfung ziemlich,Angst
Ich bin ängstlich,Angst
Das erfüllt mich mit Freude ziemlich,Freude
Ich habe ein ungutes Gefühl,Angst
Ich habe endlich eine Lösung gefunden unglaublich,Freude
Ich bin sehr glücklich extrem,Freude
Das hat mich verletzt extrem,Traurigkeit
Mein Team hat gewonnen wirklich,Freude
Das ist unerträglich ziemlich,Wut
Ich arbeite heute im Homeoffice extrem,Neutral
Ich habe endlich eine Lösung gefunden sehr,Freude
Ich bin traurig über die Nachricht ziemlich,Traurigkeit
Ich fühle mich großartig,Freude
Das macht mich zufrieden sehr,Freude
Ich freue mich riesig auf den Urlaub extrem,Freude
Mir fehlt die Motivation extrem,Traurigkeit
Ich bin angespannt unglaublich,Angst
Ich könnte vor Freude springen unglaublich,Freude
Das Paket ist angekommen,Neutral
Ich gehe einkaufen sehr,Neutral
Ich könnte ausrasten extrem,Wut
Ich fühle mich großartig unglaublich,Freude
Ich bin am Boden zerstört extrem,Traurigkeit
Ich könnte ausrasten ziemlich,Wut
Das regt mich unglaublich auf,Wut
Ich sitze am Schreibtisch wirklich,Neutral
Ich habe Angst zu versagen,Angst
Das erfüllt mich mit Freude ziemlich,Freude
Der Supermarkt hat geöffnet,Neutral
Das hat mich verletzt sehr,Traurigkeit
Ich bin erleichtert und glücklich unglaublich,Freude
Endlich habe ich mein Ziel erreicht sehr,Freude
Alles erscheint sinnlos unglaublich,Traurigkeit
Ich genieße diesen Moment sehr,Freude
Ich bin ängstlich ziemlich,Angst
Ich bin stolz auf meine Leistung ziemlich,Freude
Ich habe Angst vor morgen sehr,Angst
Ich fürchte mich vor dem Ergebnis extrem,Angst
Heute fällt mir alles schwer unglaublich,Traurigkeit
Der Supermarkt hat geöffnet wirklich,Neutral
Ich bin sehr glücklich unglaublich,Freude
Das verunsichert mich extrem,Angst
Ich bin beunruhigt sehr,Angst
Ich bin beunruhigt ziemlich,Angst
Das macht mich traurig sehr,Traurigkeit
Alles erscheint sinnlos sehr,Traurigkeit
Ich sitze am Schreibtisch sehr,Neutral
Das macht mich aggressiv sehr,Wut
Ich bin stolz auf meine Leistung extrem,Freude
Ich habe Angst zu versagen unglaublich,Angst
Ich fühle mich unsicher ziemlich,Angst
Ich sitze am Schreibtisch,Neutral
Ich fühle mich einsam wirklich,Traurigkeit
Ich bin richtig verärgert ziemlich,Wut
Ich gehe einkaufen unglaublich,Neutral
Das belastet mich,Traurigkeit
Ich fühle mich leer extrem,Traurigkeit
Ich trinke einen Kaffee sehr,Neutral
Ich fühle mich unsicher unglaublich,Angst
Ich fürchte mich vor dem Ergebnis sehr,Angst
Heute ist ein fantastischer Tag sehr,Freude
Das belastet mich wirklich,Traurigkeit
Ich mache mir große Sorgen wirklich,Angst
Das macht mich nervös unglaublich,Angst
Mir ist ganz mulmig extrem,Angst
So ein Unsinn ziemlich,Wut
Heute läuft alles perfekt ziemlich,Freude
Die Nachricht hat mich begeistert wirklich,Freude
Ich vermisse meine Freunde unglaublich,Traurigkeit
Das geht gar nicht unglaublich,Wut
Ich habe die Nase voll wirklich,Wut
So ein Unsinn,Wut
Das bringt mich auf die Palme ziemlich,Wut
Ich habe ein ungutes Gefühl ziemlich,Angst
Das geht gar nicht extrem,Wut
Heute ist ein fantastischer Tag ziemlich,Freude
Ich bin erleichtert und glücklich ziemlich,Freude
So ein Unsinn ziemlich,Wut
Das Wetter ist bewölkt unglaublich,Neutral
Das macht mich traurig wirklich,Traurigkeit
Das regt mich unglaublich auf ziemlich,Wut
Ich fühle mich bedroht sehr,Angst
Das Dokument wurde gespeichert,Neutral
Ich bin enttäuscht sehr,Traurigkeit
Ich weiß nicht was passieren wird extrem,Angst
Ich bin ängstlich unglaublich,Angst
Ich vermisse meine Freunde sehr,Traurigkeit
Das macht mich zufrieden extrem,Freude
Ich könnte weinen ziemlich,Traurigkeit
Das tut weh unglaublich,Traurigkeit
Ich bin ängstlich unglaublich,Angst
Ich lese ein Buch extrem,Neutral
Ich bin frustriert sehr,Wut
Ich habe endlich eine Lösung gefunden ziemlich,Freude
Das macht mich wütend extrem,Wut
Ich vermisse meine Freunde extrem,Traurigkeit
Das Wetter ist bewölkt wirklich,Neutral
Ich könnte weinen sehr,Traurigkeit
Ich ärgere mich darüber unglaublich,Wut
Das macht mir Sorgen extrem,Angst
Ich könnte vor Freude springen wirklich,Freude
Mein Projekt war erfolgreich extrem,Freude
Ich habe Angst vor der Zukunft extrem,Angst
Ich bereite das Abendessen vor sehr,Neutral
Ich bin frustriert,Wut
Ich genieße diesen Moment unglaublich,Freude
Mein Projekt war erfolgreich wirklich,Freude
Das macht mir Sorgen extrem,Angst
Das bereitet mir Kopfzerbrechen ziemlich,Angst
Ich habe ein ungutes Gefühl extrem,Angst
Ich habe Angst vor morgen extrem,Angst
Das ist die beste Nachricht des Jahres wirklich,Freude
Die Lampe ist eingeschaltet,Neutral
Heute läuft alles perfekt extrem,Freude
Das macht mich aggressiv ziemlich,Wut
Ich gehe später spazieren wirklich,Neutral
Ich sitze am Schreibtisch unglaublich,Neutral
Die Lampe ist eingeschaltet unglaublich,Neutral
Ich fühle mich allein wirklich,Traurigkeit
Ich habe Angst vor der Zukunft ziemlich,Angst
Das macht mich traurig extrem,Traurigkeit
Das ist die beste Nachricht des Jahres ziemlich,Freude
Heute ist ein fantastischer Tag wirklich,Freude
Ich bin frustriert wirklich,Wut
Ich bin beunruhigt unglaublich,Angst
Endlich habe ich mein Ziel erreicht unglaublich,Freude
Endlich habe ich mein Ziel erreicht unglaublich,Freude
Ich hasse solche Situationen unglaublich,Wut
Ich habe endlich eine Lösung gefunden sehr,Freude
Was passiert wenn etwas schiefgeht ziemlich,Angst
Ich lese ein Buch extrem,Neutral
Ich habe Angst vor der Zukunft unglaublich,Angst
Heute fällt mir alles schwer extrem,Traurigkeit
Ich genieße diesen Moment,Freude
Ich bin nervös wegen der Prüfung wirklich,Angst
Das macht mich zufrieden ziemlich,Freude
Ich fürchte mich vor dem Ergebnis wirklich,Angst
Das macht mir Sorgen ziemlich,Angst
